Time__sec,Weight__g,Flow__mLPmin,FlowsensorError_Air,FlowsensorError_Overflow
0.0,766.29,-2.1,1,0
0.08933,750.65,-2.1,1,0
0.196486,734.48,-2.1,1,0
0.291714,743.14,-2.1,1,0
0.390395,741.42,-2.1,1,0
0.503324,735.6,-2.1,1,0
0.589159,742.28,-2.1,1,0
0.695771,736.47,-2.1,1,0
0.797845,737.97,-2.1,1,0
0.88964,735.12,-2.1,1,0
0.997362,747.04,-2.1,1,0
1.08803,744.23,-2.1,1,0
1.192082,735.12,-2.1,1,0
1.287969,737.48,-2.1,1,0
1.393656,750.91,-2.1,1,0
1.490512,742.06,-2.1,1,0
1.587412,730.99,-2.1,1,0
1.698003,734.74,-2.1,1,0
1.802817,735.6,-2.1,1,0
1.892401,739.05,-2.1,1,0
1.998207,740.89,-2.1,1,0
2.087909,752.3,-2.1,1,0
2.189073,745.24,-2.1,1,0
2.289685,737.22,-2.1,1,0
2.394579,734.44,-2.1,1,0
2.489255,732.68,-2.1,1,0
2.598665,737.67,-2.1,1,0
2.69548,741.98,-2.1,1,0
2.795958,746.89,-2.1,1,0
2.892868,749.3,-2.1,1,0
2.99073,752.63,-2.1,1,0
3.087254,750.98,-2.1,1,0
3.191387,753.23,-2.1,1,0
3.293434,750.38,-2.05,1,0
3.402013,739.69,-2.1,1,0
3.491793,735.83,-2.1,1,0
3.587595,737.07,-2.05,1,0
3.700409,738.53,-2.05,1,0
3.796044,742.21,-2.1,1,0
3.890005,745.81,-2.1,1,0
3.992567,744.27,-2.05,1,0
4.092908,744.76,-2.1,1,0
4.193835,744.31,-2.1,1,0
4.293338,744.42,-2.1,1,0
4.397508,743.29,-2.1,1,0
4.495527,742.24,-2.05,1,0
4.601535,740.74,-2.1,1,0
4.695881,735.34,-2.1,1,0
4.79415,735.19,-2.1,1,0
4.891849,735.42,-2.1,1,0
4.994072,733.62,-2.1,1,0
5.089511,733.35,-2.1,1,0
5.19114,734.48,-2.1,1,0
5.293417,736.69,-2.1,1,0
5.391021,737.89,-2.1,1,0
5.488226,738.57,-2.1,1,0
5.596672,736.77,-2.1,1,0
5.688661,737.22,-2.1,1,0
5.788501,738.6,-2.1,1,0
5.907099,736.05,-2.1,1,0
5.989911,738.79,-2.1,1,0
6.098347,741.53,-2.1,1,0
6.191676,739.69,-2.1,1,0
6.292025,736.73,-2.1,1,0
6.397123,736.05,-2.1,1,0
6.496726,735.23,-2.1,1,0
6.598218,736.17,-2.1,1,0
6.688226,732.53,-2.1,1,0
6.801404,734.78,-2.1,1,0
6.893316,732.75,-2.1,1,0
6.992966,731.85,-2.1,1,0
7.08734,732.6,-2.1,1,0
7.187973,733.77,-2.1,1,0
7.287788,735.19,-2.1,1,0
7.387813,736.2,-2.1,1,0
7.499192,734.55,-2.1,1,0
7.592649,734.44,-2.1,1,0
7.689144,732.34,-2.1,1,0
7.79672,738.75,-2.1,1,0
7.891932,737.22,-2.1,1,0
7.98971,735.75,-2.1,1,0
8.104988,737.44,-2.1,1,0
8.189382,737.7,-2.1,1,0
8.289663,737.97,-2.1,1,0
8.392479,737.37,-2.1,1,0
8.494906,737.18,-2.1,1,0
8.590454,736.47,-2.1,1,0
8.6891,737.7,-2.1,1,0
8.799996,738.0,-2.1,1,0
8.895614,738.72,-2.1,1,0
8.9946,737.33,-2.1,1,0
9.089975,738.27,-2.1,1,0
9.188885,739.99,-2.1,1,0
9.28961,738.68,-2.1,1,0
9.389583,739.69,-2.1,1,0
9.489254,738.9,-2.1,1,0
9.591061,739.28,-2.1,1,0
9.691226,739.73,-2.1,1,0
9.802387,741.04,-2.1,1,0
9.899311,740.78,-2.1,1,0
9.996576,741.72,-2.1,1,0
10.091668,740.82,-2.1,1,0
10.190889,740.14,-2.1,1,0
10.290874,739.58,-2.1,1,0
10.387668,740.25,-2.1,1,0
10.489835,740.44,-2.1,1,0
10.590393,742.92,-2.1,1,0
10.700845,742.54,-2.1,1,0
10.794458,743.93,-2.1,1,0
10.893249,742.54,-2.1,1,0
10.989073,743.97,-2.1,1,0
11.088157,742.81,-2.1,1,0
11.188589,741.19,-2.1,1,0
11.290673,742.39,-2.1,1,0
11.387399,741.34,-2.1,1,0
11.494587,740.41,-2.1,1,0
11.593761,738.87,-2.1,1,0
11.70144,738.08,-2.1,1,0
11.799463,736.54,-2.1,1,0
11.89852,737.74,-2.1,1,0
