Time__sec,Weight__g,Flow__mLPmin,FlowsensorError_Air,FlowsensorError_Overflow
0.0,105.95,-2.1,1,0
0.102359,105.02,-2.1,1,0
0.202105,104.72,-2.1,1,0
0.302893,104.34,-2.1,1,0
0.403616,103.55,-2.1,1,0
0.499438,104.6,-2.1,1,0
0.599069,106.22,-2.1,1,0
0.708065,106.7,-2.1,1,0
0.810537,106.25,-2.1,1,0
0.90498,106.85,-2.1,1,0
1.00304,105.13,-2.1,1,0
1.098144,106.25,-2.1,1,0
1.207561,107.68,-2.1,1,0
1.296453,107.57,-2.1,1,0
1.40699,107.64,-2.1,1,0
1.502847,106.4,-2.1,1,0
1.603621,105.35,-2.1,1,0
1.703877,107.08,-2.1,1,0
1.808487,108.84,-2.1,1,0
1.906467,105.62,-2.1,1,0
2.003084,105.73,-2.1,1,0
2.101428,105.35,-2.1,1,0
2.214062,105.88,-2.1,1,0
2.300702,105.58,-2.1,1,0
2.416964,105.13,-2.1,1,0
2.502455,105.17,-2.1,1,0
2.597367,106.07,-2.1,1,0
2.696808,106.03,-2.1,1,0
2.807796,104.57,-2.1,1,0
2.906686,104.53,-2.1,1,0
3.002341,105.8,-2.1,1,0
3.102813,106.48,-2.1,1,0
3.208218,103.93,-2.1,1,0
3.30278,104.94,-2.1,1,0
3.398545,104.75,-2.15,1,0
3.507733,105.58,-2.15,1,0
3.602329,103.96,-2.1,1,0
3.696796,102.5,-2.1,1,0
3.798346,105.54,-2.1,1,0
3.907826,104.34,-2.1,1,0
4.004542,104.53,-2.1,1,0
4.104024,104.75,-2.1,1,0
4.201138,104.49,-2.1,1,0
4.301536,105.54,-2.1,1,0
4.405381,105.92,-2.15,1,0
4.509391,106.67,-2.1,1,0
4.604261,107.12,-2.1,1,0
4.702092,107.27,-2.1,1,0
4.798606,105.35,-2.1,1,0
4.89774,105.65,-2.1,1,0
4.997986,106.59,-2.1,1,0
5.098352,105.84,-2.1,1,0
5.196336,107.98,-2.1,1,0
5.304696,106.74,-2.1,1,0
5.402464,107.68,-2.15,1,0
5.502876,106.89,-2.15,1,0
5.603872,105.24,-2.1,1,0
5.708228,105.2,-2.1,1,0
5.800704,106.22,-2.1,1,0
5.897237,107.23,-2.1,1,0
6.017793,104.9,-2.1,1,0
6.101525,103.1,-2.1,1,0
6.201123,104.34,-2.1,1,0
6.297014,106.03,-2.15,1,0
6.408408,105.47,-2.1,1,0
6.50246,104.38,-2.1,1,0
6.6022,104.75,-2.1,1,0
6.697431,106.37,-2.1,1,0
6.809366,106.93,-2.1,1,0
6.904398,106.85,-2.1,1,0
7.001813,106.44,-2.1,1,0
7.098077,105.5,-2.1,1,0
7.207161,104.08,-2.1,1,0
7.307693,103.29,-2.1,1,0
7.397169,106.14,-2.1,1,0
7.503685,105.39,-2.1,1,0
7.602596,105.47,-2.1,1,0
7.703707,106.25,-2.1,1,0
7.798157,107.64,-2.1,1,0
7.910246,109.03,-2.1,1,0
8.009799,109.4,-2.1,1,0
8.104402,107.45,-2.1,1,0
8.200699,105.39,-2.1,1,0
8.29952,107.19,-2.1,1,0
8.407644,104.9,-2.1,1,0
8.507398,104.15,-2.1,1,0
8.605761,106.44,-2.1,1,0
8.703217,106.59,-2.1,1,0
8.798468,106.4,-2.1,1,0
8.910348,105.99,-2.1,1,0
9.010027,105.54,-2.1,1,0
9.106524,104.72,-2.1,1,0
9.203909,104.15,-2.15,1,0
9.303313,104.87,-2.1,1,0
9.397349,104.83,-2.1,1,0
9.496943,106.37,-2.1,1,0
9.609354,105.84,-2.1,1,0
9.706999,106.63,-2.1,1,0
9.799588,105.62,-2.1,1,0
9.899631,107.57,-2.1,1,0
10.011188,107.87,-2.1,1,0
10.107076,106.85,-2.1,1,0
10.204437,104.42,-2.1,1,0
10.3071,105.02,-2.1,1,0
10.403608,104.83,-2.1,1,0
10.497519,105.5,-2.1,1,0
10.605495,105.73,-2.15,1,0
10.704238,106.52,-2.15,1,0
10.799164,106.78,-2.1,1,0
10.897382,106.14,-2.15,1,0
11.008641,105.99,-2.1,1,0
11.103296,105.02,-2.15,1,0
11.202246,104.94,-2.1,1,0
11.302488,105.32,-2.1,1,0
11.401798,104.83,-2.1,1,0
11.501663,105.28,-2.1,1,0
11.601681,106.07,-2.1,1,0
11.69977,105.05,-2.1,1,0
11.810596,106.82,-2.1,1,0
11.904878,107.98,-2.1,1,0
12.003022,105.77,-2.1,1,0
12.099622,105.24,-2.1,1,0
12.198051,105.09,-2.15,1,0
12.300024,104.3,-2.15,1,0
12.400577,105.95,-2.1,1,0
12.499758,105.73,-2.1,1,0
12.599901,104.87,-2.1,1,0
12.71149,106.14,-2.1,1,0
12.79675,106.1,-2.1,1,0
12.90617,105.88,-2.1,1,0
13.004103,104.87,-2.1,1,0
13.099671,104.38,-2.1,1,0
13.200067,106.48,-2.1,1,0
13.30111,105.2,-2.1,1,0
13.403687,104.98,-2.1,1,0
13.507228,105.99,-2.1,1,0
13.603375,105.35,-2.1,1,0
13.704037,106.44,-2.1,1,0
13.798216,107.42,-2.1,1,0
13.896764,106.18,-2.1,1,0
14.007483,105.39,-2.1,1,0
14.117432,106.78,-2.1,1,0
14.206196,105.8,-2.1,1,0
14.303923,105.58,-2.1,1,0
14.406116,106.14,-2.1,1,0
14.496664,105.73,-2.15,1,0
14.60624,107.34,-2.1,1,0
14.706826,107.53,-2.1,1,0
14.796701,105.2,-2.1,1,0
14.90252,103.33,-2.1,1,0
15.004086,104.45,-2.1,1,0
15.10823,105.02,-2.15,1,0
15.201717,106.85,-2.1,1,0
15.307982,105.73,-2.1,1,0
15.418807,104.64,-2.1,1,0
15.506699,106.4,-2.15,1,0
15.604466,106.33,-2.15,1,0
15.702422,105.39,-2.1,1,0
15.80335,106.29,-2.1,1,0
15.904238,105.58,-2.15,1,0
16.003028,104.87,-2.1,1,0
16.097687,105.69,-2.1,1,0
16.210303,104.3,-2.15,1,0
16.303066,105.88,-2.15,1,0
16.402995,106.59,-2.1,1,0
16.506314,104.72,-2.1,1,0
16.609414,103.51,-2.1,1,0
16.712457,105.17,-2.1,1,0
16.797317,106.25,-2.1,1,0
16.903941,107.6,-2.1,1,0
17.007927,108.09,-2.1,1,0
17.10397,105.09,-2.1,1,0
17.200835,104.6,-2.1,1,0
17.30276,103.7,-2.1,1,0
17.402104,105.28,-2.1,1,0
17.504694,105.95,-2.1,1,0
17.608415,104.79,-2.1,1,0
17.701646,106.55,-2.1,1,0
17.8012,103.66,-2.1,1,0
17.896816,105.32,-2.1,1,0
18.00305,106.37,-2.1,1,0
18.106757,105.17,-2.1,1,0
18.204842,104.57,-2.1,1,0
18.300519,105.77,-2.1,1,0
18.40268,108.09,-2.1,1,0
18.505403,106.74,-2.1,1,0
18.60619,105.62,-2.1,1,0
18.710248,106.25,-2.1,1,0
18.803226,107.0,-2.15,1,0
18.911302,106.89,-2.1,1,0
19.007526,106.25,-2.1,1,0
19.107463,106.48,-2.1,1,0
19.207998,105.92,-2.1,1,0
19.307157,106.59,-2.1,1,0
19.405708,106.48,-2.1,1,0
19.504921,105.24,-2.1,1,0
19.607426,106.1,-2.1,1,0
19.706008,106.97,-2.1,1,0
19.805513,107.49,-2.15,1,0
19.901508,106.59,-2.1,1,0
20.000401,105.17,-2.1,1,0
20.101484,105.02,-2.1,1,0
20.196355,105.88,-2.1,1,0
20.300827,107.15,-2.1,1,0
20.397904,105.05,-2.1,1,0
20.5,103.21,-2.1,1,0
20.608743,106.67,-2.1,1,0
20.707919,106.18,-2.1,1,0
20.802918,105.58,-2.1,1,0
20.90309,104.0,-2.1,1,0
20.998453,104.38,-2.1,1,0
21.098416,107.04,-2.1,1,0
21.196496,107.27,-2.1,1,0
21.300597,105.47,-2.15,1,0
21.400686,104.75,-2.1,1,0
21.502929,105.95,-2.1,1,0
21.61045,106.29,-2.1,1,0
21.710264,107.0,-2.1,1,0
21.807326,107.42,-2.15,1,0
21.90311,107.27,-2.15,1,0
22.000451,105.69,-2.1,1,0
22.09848,105.54,-2.1,1,0
22.196558,104.12,-2.1,1,0
22.296911,105.39,-2.1,1,0
22.398116,106.89,-2.1,1,0
22.500337,104.45,-2.1,1,0
22.601337,105.24,-2.1,1,0
22.701998,106.4,-2.1,1,0
22.800206,106.18,-2.1,1,0
22.900559,107.3,-2.15,1,0
23.014494,107.6,-2.1,1,0
23.110053,105.28,-2.15,1,0
23.207051,104.83,-2.1,1,0
23.304667,105.39,-2.1,1,0
23.414535,105.65,-2.1,1,0
23.502699,105.8,-2.1,1,0
23.60171,107.04,-2.1,1,0
23.700952,105.84,-2.1,1,0
23.801553,107.27,-2.1,1,0
23.902477,108.28,-2.1,1,0
24.001507,105.47,-2.1,1,0
24.115357,106.33,-2.15,1,0
24.209,106.97,-2.1,1,0
24.318687,105.05,-2.1,1,0
24.403654,102.69,-2.1,1,0
24.507549,103.85,-2.1,1,0
24.603935,105.65,-2.1,1,0
24.696358,105.8,-2.1,1,0
24.800212,105.24,-2.1,1,0
24.901816,102.58,-2.1,1,0
25.003118,103.18,-2.1,1,0
25.097071,104.49,-2.1,1,0
25.205578,105.17,-2.1,1,0
25.304341,105.43,-2.1,1,0
25.411092,106.37,-2.1,1,0
25.502162,106.44,-2.15,1,0
25.602548,105.99,-2.1,1,0
25.70062,105.92,-2.1,1,0
25.801724,105.47,-2.15,1,0
25.901583,104.19,-2.1,1,0
26.009301,103.59,-2.1,1,0
26.10871,103.81,-2.1,1,0
26.204375,104.98,-2.1,1,0
26.305199,104.38,-2.1,1,0
26.407174,104.0,-2.1,1,0
26.51169,104.23,-2.1,1,0
